url,title,publisher,time
https://baomoi.com/dien-bien-moi-nhat-vu-khu-du-lich-xay-chui-giua-rung-o-tt-hue/c/43873133.epi,Diễn biến mới nhất vụ khu du lịch xây 'chui' giữa rừng ở TT-Huế,Báo Tiền Phong,2022-09-30T16:22:00+07:00
https://baomoi.com/mua-lu-o-nghe-an-lam-7-nguoi-chet-va-mat-tich/c/43873721.epi,Mưa lũ ở Nghệ An làm 7 người chết và mất tích,Báo VietnamNet,2022-09-30T17:04:00+07:00
https://baomoi.com/khoi-to-bat-tam-giam-nguyen-chi-cuc-truong-chi-cuc-du-tru-nha-nuoc-moc-chau/c/43873785.epi,"Khởi tố, bắt tạm giam nguyên Chi cục trưởng Chi cục Dự trữ Nhà nước Mộc Châu",Báo Tiền Phong,2022-09-30T17:12:00+07:00
https://baomoi.com/lam-ro-vu-hoc-sinh-lop-10-dung-dao-ruot-duoi-ban-trong-gio-ra-choi/c/43873369.epi,Làm rõ vụ học sinh lớp 10 dùng dao rượt đuổi bạn trong giờ ra chơi,Báo Tiền Phong,2022-09-30T16:38:00+07:00
https://baomoi.com/pho-giam-doc-so-noi-vu-bac-ninh-xin-nghi-viec/c/43872624.epi,Phó Giám đốc Sở Nội vụ Bắc Ninh xin nghỉ việc,Báo VTC News,2022-09-30T15:37:06+07:00
https://baomoi.com/truong-hoc-bi-nhan-chim-trong-lu-1-500-ho-dan-bi-co-lap/c/43873493.epi,"Trường học bị nhấn chìm trong lũ, 1.500 hộ dân bị cô lập",Báo VTC News,2022-09-30T16:47:43+07:00
https://baomoi.com/tin-vui-cho-khach-viet-di-du-lich-han-quoc/c/43872435.epi,Tin vui cho khách Việt đi du lịch Hàn Quốc,Báo Người Lao Động,2022-09-30T15:33:39+07:00
https://baomoi.com/tuyen-quang-tam-dung-hoat-dong-212-co-so-karaoke-quan-bar-vu-truong-vi-pham-ve-phong-chay/c/43872689.epi,"Tuyên Quang: Tạm dừng hoạt động 212 cơ sở karaoke, quán bar, vũ trường vi phạm về phòng cháy",Báo Tin Tức TTXVN,2022-09-30T15:44:00+07:00
https://baomoi.com/nu-ke-toan-lap-bao-cao-gia-chiem-doat-19-ty-dong-cua-cong-ty/c/43873162.epi,Nữ kế toán lập báo cáo giả chiếm đoạt 19 tỷ đồng của công ty,Báo Công An Nhân Dân,2022-09-30T16:20:00+07:00
https://baomoi.com/de-phong-sat-lo-dat-vung-nui-tai-cac-tinh-tu-thanh-hoa-den-ha-tinh/c/43873691.epi,Đề phòng sạt lở đất vùng núi tại các tỉnh từ Thanh Hóa đến Hà Tĩnh,Báo VietnamPlus,2022-09-30T17:00:00+07:00
https://baomoi.com/mua-xe-cho-bang-chung-ban/c/43873462.epi,Mua xe cho bằng chúng bạn,Báo Giao Thông,2022-09-30T16:43:00+07:00
https://baomoi.com/bo-truong-gtvt-bo-nhiem-hang-loat-can-bo-chu-chot/c/43873057.epi,Bộ trưởng GTVT bổ nhiệm hàng loạt cán bộ chủ chốt,Báo VietnamNet,2022-09-30T16:12:00+07:00
https://baomoi.com/loi-thua-nhan-hiem-thay-tu-vatican/c/43873241.epi,Lời thừa nhận hiếm thấy từ Vatican,Tạp chí Tri Thức Trực Tuyến,2022-09-30T16:46:06+07:00
